date_time,title,excerpt,article_url,image_url,source,author,source_id,author_url
2021-06-12 23:54:16.000000,"No DOGE Allowed? Thai SEC Bans Meme, Fan and Exchange Tokens as Well as NFTs",The move by the Thai SEC is just the latest action by the regulator as it works to provide a framework for crypto in the kingdom. ,https://www.coindesk.com/no-doge-allowed-thai-sec-bans-meme-fan-and-exchange-tokens-as-well-as-nfts,https://static.coindesk.com/wp-content/uploads/2020/07/doge_unsplash_mathis_jrdl-220x143.jpg,coindesk,Kevin Reynolds,,
2021-06-12 20:08:37.000000,Locked In: Bitcoin’s Taproot Upgrade Gets Its 90% Mandate,"Taproot opens up new possibilities for privacy, multisignature wallets and security, as well as scaling.",https://www.coindesk.com/locked-in-bitcoin-taproot-upgrade-gets-activation-mandate,https://static.coindesk.com/wp-content/uploads/2021/06/green-blocks-taproot-220x143.png,coindesk,Christie Harkin,,
2021-06-12 06:26:32.000000,"South Koreans Can Pay With Bitcoin in Stacks, Paycoin Integration",Stacks (STX) and Paycoin are offering bitcoin returns on e-commerce transactions within South Korea.,https://www.coindesk.com/south-koreans-can-pay-with-bitcoin-in-stacks-paycoin-integration,https://static.coindesk.com/wp-content/uploads/2021/06/40899324453_4f72ba5522_o-220x143.jpg,coindesk,Cameron Thompson,,
2021-06-12 05:14:54.000000,Block.one Pays $27.5M to Settle Class-Action Lawsuit,The suit related to Block.one's record-setting $4 billion token sale for the EOS blockchain.,https://www.coindesk.com/block-one-pays-27-5m-to-settle-class-action-lawsuit,https://static.coindesk.com/wp-content/uploads/2019/08/Brendan-Blumer-Option-2-220x143.jpg,coindesk,James Rubin,,
2021-06-12 05:10:34.000000,Banco Central argentino investiga a nueve empresas fintech por uso ilegal de criptomonedas,"Si confirma los hechos, iniciará denuncias penales que pueden incluir penas de prisión.",https://www.coindesk.com/banco-central-argentino-investiga-a-nueve-empresas-fintech-por-uso-ilegal-de-criptomonedas,https://static.coindesk.com/wp-content/uploads/2021/06/fernando-tavora-jN8wERXCnkE-unsplash-1-220x143.jpg,coindesk,Andrés Engler,,
2021-06-12 05:10:32.000000,Argentina Is Investigating 9 Fintech Firms for Illegally Using Crypto,"If the BCRA confirms its suspicions, it will initiate criminal complaints against the companies.",https://www.coindesk.com/argentina-is-investigating-9-fintech-firms-for-illegally-using-crypto,https://static.coindesk.com/wp-content/uploads/2021/06/fernando-tavora-jN8wERXCnkE-unsplash-220x143.jpg,coindesk,Andrés Engler,,
2021-06-12 04:48:27.000000,Market Wrap: Bitcoin Flat at $37K as Investors Tangle With Bulls and Bears,Positive news from El Salvador couldn't completely overcome negative news out of China.,https://www.coindesk.com/market-wrap-bitcoin-flat-investors-tangle-bulls-bears,https://static.coindesk.com/wp-content/uploads/2021/06/cdxbx0611-220x143.png,coindesk,Daniel Cawrey,,
2021-06-12 03:17:29.000000,Hut 8 Mining’s Underwriters Agree to Buy $82M in Stock Ahead of Nasdaq Listing,The shares are scheduled to make their debut on Nasdaq next week.,https://www.coindesk.com/hut-8-mining-to-raise-82m-in-stock-offering-ahead-of-nasdaq-listing,https://static.coindesk.com/wp-content/uploads/2021/06/GettyImages-1007877062-220x143.jpeg,coindesk,Tanzeel Akhtar,,
2021-06-12 03:05:40.000000,New York Crypto Mining Bill Dies in Assembly After Passing State Senate,Union opposition helped kill a Senate-passed environmental bill in the New York Assembly to regulate crypto mining.,https://www.coindesk.com/new-york-crypto-mining-bill-dies-in-assembly-after-passing-state-senate,https://static.coindesk.com/wp-content/uploads/2021/06/roya-ann-miller-fan8N_Ve4FQ-unsplash-220x143.jpg,coindesk,Cameron Thompson,,
2021-06-12 02:50:29.000000,Was Bitcoin Miami a COVID Superspreader Event? Too Early to Say,The plural of anecdote is not data.,https://www.coindesk.com/was-bitcoin-miami-a-covid-superspreader-too-early-to-say,https://static.coindesk.com/wp-content/uploads/2021/06/GettyImages-1321725195-220x143.jpeg,coindesk,Brady Dale,,
