,source_id,date_time,title,excerpt,article_url,image_url,author,author_url
0,post-178817,2020-12-24 10:57:56.777944,Binance US becomes the 14th crypto exchange to announce the suspension of XRP trading,"On Wednesday, December 30, Binance US became the latest cryptocurrency exchange to announce that United States customers will not be able to buy or sell XRP effective January 13th, 2021. ",https://cryptoslate.com/binance-becomes-the-14th-crypto-exchange-to-announce-the-suspension-of-xrp-trading/,,News Desk,
1,post-175161,2020-10-25 10:57:56.778467,Binance could be behind over a dozen stake pools on the Cardano blockchain,"Binance, one of the world’s largest cryptocurrency exchanges, might be behind around a dozen stake pools on the Cardano network. ",https://cryptoslate.com/binance-could-be-behind-over-a-dozen-stake-pools-on-the-cardano-blockchain/,,Priyeshu Garg,
2,post-174940,2020-10-25 10:57:56.778942,"Binance Futures surpasses BitMEX, becomes most liquid Bitcoin perpetual swap","According to the data from Skew, Binance Futures now has the most liquid Bitcoin perpetual swap contract. ",https://cryptoslate.com/binance-futures-surpasses-bitmex-becomes-most-liquid-bitcoin-perpetual-swap/,,Joseph Young,
3,post-171021,2020-08-26 10:57:58.110382,Tellor (TRB) secures coveted Binance listing as oracle bull run continues,"The DeFi sector’s massive growth in recent weeks has given rise to other fragments of the crypto market, with decentralized finance’s reliance on oracles driving investor demand to these types of projects. ",https://cryptoslate.com/tellor-trb-secures-coveted-binance-listing-as-oracle-bull-run-continues/,,Cole Petersen,
4,post-144946,2020-08-26 10:57:58.110382,"The CEO of Band Protocol on integrating with Binance’s Smart Chain, profitability, and future plans",Integrating Band Protocol’s oracle with Binance Smart Chain has opened a new door for the DeFi industry. ,https://cryptoslate.com/the-ceo-of-band-protocol-on-integrating-with-binances-smart-chain-profitability-and-future-plans/,,Priyeshu Garg,
5,post-142213,2020-08-26 10:57:58.110382,Binance system traffic has surpassed its 2017 highs as crypto bull market kicks off,"The crypto market appears to be entering a full-fledged bull run, with Bitcoin and other major altcoins slowly advancing higher while smaller market-cap coins see parabolic momentum. ",https://cryptoslate.com/binance-system-traffic-has-surpassed-its-2017-highs-as-crypto-bull-market-kicks-off/,,Cole Petersen,
6,post-141574,2020-07-27 10:57:58.111379,Binance announces Yearn.finance listing; YFI price rockets to fresh highs,"Yearn.finance has been seeing tremendous growth in recent times, with the total value locked (TVL) within the protocol reaching $150m while the YFI token price sees significant organic growth. ",https://cryptoslate.com/binance-announces-yearn-finance-listing-yfi-price-rockets-to-fresh-highs/,,Cole Petersen,
7,post-138819,2020-06-27 10:57:58.111379,"Binance, Bitfinex, OKEx list DOGE derivatives after meme-coin volume jumps 683%",Three of the largest cryptocurrency exchanges listed Dogecoin earlier today after the meme-currency jumped 50 percent in two days. ,https://cryptoslate.com/binance-bitfinex-okex-list-doge-derivatives-after-meme-coin-volumes-jump-683/,,Shaurya Malwa,
8,post-138736,2020-06-27 10:57:58.111379,Binance CEO has an explanation for a possible TikTok-driven altseason,Cryptocurrencies are not the first thing on one’s mind when they hear about TikTok. ,https://cryptoslate.com/binance-ceo-has-an-explanation-for-a-possible-tiktok-driven-altseason/,,Shaurya Malwa,
9,post-134131,2020-05-28 10:57:59.143619,"Binance Research to reinvent site, integrating new crypto data tools from IntoTheBlock","Binance Research – the analytics division of cryptocurrency exchange Binance – is moving to reinvent their website, partnering with the Miami-based data visualization platform IntoTheBlock (ITB) to offer the crypto market with deep insights into on-chain data. ",https://cryptoslate.com/binance-research-to-reinvent-site-integrating-new-crypto-data-tools-from-intotheblock/,,Cole Petersen,
10,post-133310,2020-05-28 10:57:59.143619,What the implications of Binance’s acquisition of CoinMarketCap mean for crypto security,"While global markets have been hit with panic facing some of the worst challenges since the financial crisis of 2008, the crypto industry has solidified its power through one of the largest crypto mergers to date. ",https://cryptoslate.com/what-the-implications-of-binances-acquisition-of-coinmarketcap-mean-for-crypto-security/,,Samuel Bocetta,
11,post-132188,2020-04-28 10:57:59.144616,"Beware: Coinbase, Binance, Bitcoin.com, MyCelium among Android apps threatened by new EventBot malware",Security research company Cybereason has discovered a new type of Android trojan that has been targeting banking and money transfer apps. ,https://cryptoslate.com/beware-coinbase-binance-bitcoin-com-mycelium-among-android-apps-threatened-by-new-eventbot-malware/,,Priyeshu Garg,
12,post-131735,2020-04-28 10:57:59.144616,Binance sets foot in the mining sector with new PoW and PoS mining pool,"The world’s largest cryptocurrency exchange by trading volume, Binance, announced the official launch of its mining pool service. Dubbed Binance Pool, it will offer support for both Proof-of-Work (PoW) and Proof-of-Stake (PoS) mining mechanisms. ",https://cryptoslate.com/binance-sets-foot-in-the-mining-sector-with-new-pow-and-pos-mining-pool/,,Ali Martinez,
13,post-131183,2020-04-28 10:57:59.144616,"After burning 10% of its supply, here’s where Binance Coin could be headed next","Binance recently announced that it conducted its 11th quarterly token burn totaling $52.5 million worth of its native crypto, Binance Coin. ",https://cryptoslate.com/after-burning-10-of-its-supply-heres-where-binance-coin-could-be-headed-next/,,Ali Martinez,
14,post-130166,2020-03-29 10:57:59.145613,One chart shows how Binance grew so shockingly fast in crypto since 2018,"Researchers at Glassnode conducted an in-depth research of the on-chain data of Binance, one of the world’s largest crypto exchanges, comparing its growth with other trading platforms. ",https://cryptoslate.com/one-chart-shows-how-binance-grew-so-shockingly-fast-in-crypto-since-2018/,,Joseph Young,
15,post-128919,2020-03-29 10:58:00.264809,Why this cryptocurrency just surged 16% on news of a key Binance partnership,"Basic Attention Token (BAT), the native cryptocurrency of the Brave Browser, spiked by more than 16 percent following a Binance trading widget integration. ",https://cryptoslate.com/why-this-cryptocurrency-just-surged-16-on-news-of-a-key-binance-partnership/,,Joseph Young,
16,post-128553,2020-03-29 10:58:00.264809,Binance CEO explains the real reason why the crypto market crashed last week,"The crypto market saw one of its largest single-day downwards movement last Thursday, with Bitcoin leading a massive selloff that sent the benchmark digital asset reeling to lows of $3,800, subsequently causing most major altcoins to also crater lower. ",https://cryptoslate.com/binance-ceo-explains-the-real-reason-why-the-crypto-market-crashed-last-week/,,Cole Petersen,
17,post-128144,2020-03-29 10:58:00.264809,"In times of uncertainty and fear, Binance goes long on India",Binance has partnered with cryptocurrency exchange WazirX to create a “Blockchain for India” fund worth $50 million. ,https://cryptoslate.com/in-times-of-uncertainty-and-fear-binance-goes-long-on-india/,,Priyeshu Garg,
18,post-127875,2020-03-29 10:58:00.265622,Binance stablecoin’s exponential growth shows crypto investors are flocking for safety,"Binance’s BUSD has become the fifth largest stablecoin by market capitalization, as investors flock to stablecoins for safety amidst extreme volatility in both the crypto and global financial market. ",https://cryptoslate.com/binance-stablecoins-exponential-growth-shows-crypto-investors-are-flocking-for-safety/,,Joseph Young,
19,post-127438,2020-02-28 10:58:00.265622,Binance.US introduces a more aggressive referral program,"Binance US, the United States only arm of Binance, has introduced a new referral program for its platform. ",https://cryptoslate.com/binance-us-introduces-a-more-aggressive-referral-program/,,Priyeshu Garg,
20,post-126642,2020-02-28 10:58:00.266619,"Planning for the worst: Binance donates to fight Coronavirus, Coinbase reveals plan for remote work",The approach that cryptocurrency exchanges Binance and Coinbase are taking to the coronavirus is as different as night and day. ,https://cryptoslate.com/planning-for-the-worst-binance-donates-to-fight-coronavirus-coinbase-reveals-plan-for-remote-work/,,Christina Comben,
21,post-125074,2020-02-28 10:58:01.288881,OKEx launches a decentralized exchange and the OKChain Testnet; can it compete with Binance?,OKEx announced the launch of its own blockchain and a decentralized exchange. ,https://cryptoslate.com/okex-launches-a-decentralized-exchange-and-the-okchain-testnet-can-it-compete-with-binance/,,Ali Martinez,
22,post-124664,2020-02-28 10:58:01.289879,Binance Futures launches Tezos perpetual contracts as XTZ breaks above a multi-year resistance level,Binance recently announced the introduction of a new Tezos derivative product. ,https://cryptoslate.com/binance-futures-launches-tezos-perpetual-contracts-as-xtz-breaks-above-a-multi-year-resistance-level/,,Ali Martinez,
