,source_id,date_time,title,excerpt,article_url,image_url,author,author_url,concat
0,post-179155,2020-12-24 10:58:11.739937,There could be a one million Cardano (ADA) wallets created in 2021,"The number of new ADA wallets has skyrocketed in the past month, with an average of 64 wallets created every hour between December 16 and January 4. ",https://cryptoslate.com/there-could-be-a-one-million-cardano-ada-wallets-created-in-2021/,,Priyeshu Garg,,"There could be a one million Cardano (ADA) wallets created in 2021, The number of new ADA wallets has skyrocketed in the past month, with an average of 64 wallets created every hour between December 16 and January 4. "
1,post-179117,2020-12-24 10:58:11.739937,SushiSwap (SUSHI) trading volumes hit fresh all-time high as DeFi market heats up,It appears that the decentralized finance (DeFi) boom is back after a multi-week hiatus. ,https://cryptoslate.com/sushiswap-sushi-trading-volumes-hit-fresh-all-time-high-as-defi-market-heats-up/,,Nick Chong,,"SushiSwap (SUSHI) trading volumes hit fresh all-time high as DeFi market heats up, It appears that the decentralized finance (DeFi) boom is back after a multi-week hiatus. "
2,post-179118,2020-12-24 10:58:11.740934,"Ethereum (finally) takes the lead with a 25% rally as Bitcoin stalls at $33,000","While Ethereum appreciated over December, the leading altcoin has largely underperformed Bitcoin. ",https://cryptoslate.com/ethereum-finally-takes-the-lead-with-a-25-rally-as-bitcoin-stalls-at-33000/,,Nick Chong,,"Ethereum (finally) takes the lead with a 25% rally as Bitcoin stalls at $33,000, While Ethereum appreciated over December, the leading altcoin has largely underperformed Bitcoin. "
3,post-178865,2020-12-24 10:58:11.741290,Uniswap (UNI) and Yearn.finance (YFI) shoot over 10% higher despite Bitcoin rally,"Uniswap’s and Yearn.finance’s native coins, UNI and YFI, are finally moving higher after an extended slump. ",https://cryptoslate.com/uniswap-uni-and-yearn-finance-yfi-shoot-over-10-higher-despite-bitcoin-rally/,,Nick Chong,,"Uniswap (UNI) and Yearn.finance (YFI) shoot over 10% higher despite Bitcoin rally, Uniswap’s and Yearn.finance’s native coins, UNI and YFI, are finally moving higher after an extended slump. "
4,post-178846,2020-12-24 10:58:11.741290,Polkadot surges 67% in the past week—what’s behind DOT’s rally?,Polkadot (DOT) has increased by over 67% in the past week as the best-performing top 100 cryptocurrency in the last seven days. ,https://cryptoslate.com/polkadot-surges-67-in-the-past-week-whats-behind-dots-rally/,,Joseph Young,,"Polkadot surges 67% in the past week—what’s behind DOT’s rally?, Polkadot (DOT) has increased by over 67% in the past week as the best-performing top 100 cryptocurrency in the last seven days. "
5,post-178720,2020-12-24 10:58:11.741930,Two DeFi coins THORChain (RUNE) and REN break out of slumber with 10% rallies,"DeFi altcoins have been hammered hard over the past few weeks despite immense strength in Bitcoin, which has subsequently been reflected in Ethereum’s price action. ",https://cryptoslate.com/two-defi-coins-thorchain-rune-and-ren-break-out-of-slumber-with-10-rallies/,,Nick Chong,,"Two DeFi coins THORChain (RUNE) and REN break out of slumber with 10% rallies, DeFi altcoins have been hammered hard over the past few weeks despite immense strength in Bitcoin, which has subsequently been reflected in Ethereum’s price action. "
6,post-178323,2020-12-24 10:58:12.955685,"Even after 400% rally, analysts are still excited about DeFi protocol SushiSwap","SushiSwap’s native token SUSHI, even after the recent drop, is up strongly since the lows seen in October. ",https://cryptoslate.com/even-after-400-rally-analysts-are-still-excited-about-defi-protocol-sushiswap-sushi/,,Nick Chong,,"Even after 400% rally, analysts are still excited about DeFi protocol SushiSwap, SushiSwap’s native token SUSHI, even after the recent drop, is up strongly since the lows seen in October. "
7,post-178293,2020-12-24 10:58:12.955685,XRP falls 17% as Ripple faces U.S. SEC action,The issuer of XRP tokens has come in the regulatory crosshairs for their alleged illegal distribution. ,https://cryptoslate.com/xrp-falls-10-as-ripple-faces-us-sec-action/,,Shaurya Malwa,,"XRP falls 17% as Ripple faces U.S. SEC action, The issuer of XRP tokens has come in the regulatory crosshairs for their alleged illegal distribution. "
8,post-178251,2020-12-24 10:58:12.956682,Crypto Wall Street: Goldman Sachs to underwrite Coinbase IPO while JPMorgan says Bitcoin “overbought”,Wall Street is coming for crypto and how. ,https://cryptoslate.com/crypto-wall-street-goldman-sachs-to-underwrite-coinbase-ipo-while-jpmorgan-says-bitcoin-overbrought/,,Shaurya Malwa,,"Crypto Wall Street: Goldman Sachs to underwrite Coinbase IPO while JPMorgan says Bitcoin “overbought”, Wall Street is coming for crypto and how. "
9,post-178232,2020-12-24 10:58:12.956682,Charlie Lee explains 45% Litecoin (LTC) rally in face of strong Bitcoin dominance run,"Unlike what many traders expected, the past few weeks and months have been all about Bitcoin. ",https://cryptoslate.com/charlie-lee-explains-45-litecoin-ltc-rally-in-face-of-strong-bitcoin-dominance-run/,,Nick Chong,,"Charlie Lee explains 45% Litecoin (LTC) rally in face of strong Bitcoin dominance run, Unlike what many traders expected, the past few weeks and months have been all about Bitcoin. "
10,post-178196,2020-12-24 10:58:12.956682,Top Silicon Valley VC defends crypto amid proposal of controversial Treasury rule,"Yesterday, the United States Treasury’s FinCEN branch confirmed that it is working on cracking down on crimes enabled by Bitcoin and other cryptocurrencies. ",https://cryptoslate.com/top-silicon-valley-vc-defends-crypto-amid-proposal-of-controversial-treasury-rule/,,Nick Chong,,"Top Silicon Valley VC defends crypto amid proposal of controversial Treasury rule, Yesterday, the United States Treasury’s FinCEN branch confirmed that it is working on cracking down on crimes enabled by Bitcoin and other cryptocurrencies. "
11,post-177983,2020-12-24 10:58:13.879214,Crypto exchanges need to go all-in on security or risk becoming irrelevant,The security aspect of cryptocurrency exchanges remains an ongoing concern. ,https://cryptoslate.com/crypto-exchanges-need-to-go-all-in-on-security-or-risk-becoming-irrelevant/,,Alex Zha,,"Crypto exchanges need to go all-in on security or risk becoming irrelevant, The security aspect of cryptocurrency exchanges remains an ongoing concern. "
12,post-177837,2020-12-24 10:58:13.879214,IOHK continues Goguen momentum with the Allegra Cardano protocol update,"Last week, IOHK successfully applied a change to the Cardano protocol that is set to bring token locking to the platform. ",https://cryptoslate.com/iohk-continues-goguen-momentum-with-the-allegra-cardano-protocol-update/,,Priyeshu Garg,,"IOHK continues Goguen momentum with the Allegra Cardano protocol update, Last week, IOHK successfully applied a change to the Cardano protocol that is set to bring token locking to the platform. "
13,post-177791,2020-12-24 10:58:13.879214,JPMorgan calls Bitcoin institutional purchases a “milestone”,"The multibillion US bank has made snide comments about Bitcoin in the past, but its tone is changing. ",https://cryptoslate.com/jpmorgan-calls-bitcoin-institutional-purchases-a-milestone/,,Shaurya Malwa,,"JPMorgan calls Bitcoin institutional purchases a “milestone”, The multibillion US bank has made snide comments about Bitcoin in the past, but its tone is changing. "
14,post-177495,2020-12-24 10:58:13.880212,Apple co-founder Steve Wozniak’s Ethereum-based crypto rallies another 100%,"Everything Apple co-founder Steve Wozniak touches turns to gold, apparently. ",https://cryptoslate.com/apple-co-founder-steve-wozniaks-ethereum-based-crypto-rallies-another-100/,,Nick Chong,,"Apple co-founder Steve Wozniak’s Ethereum-based crypto rallies another 100%, Everything Apple co-founder Steve Wozniak touches turns to gold, apparently. "
15,post-177430,2020-11-24 10:58:13.880212,How this scammer “accidentally” sent $200k to Yearn.finance (YFI) founder Andre Cronje,"In my time analyzing Ethereum addresses over the past few weeks, I’ve noticed an interesting trend: prominent funds such as Polychain Capital and prominent figures such as Andre Cronje, founder of Yearn.finance, regularly receive random coins from Uniswap. ",https://cryptoslate.com/how-this-scammer-accidentally-sent-200k-to-yearn-finance-yfi-founder-andre-cronje/,,Nick Chong,,"How this scammer “accidentally” sent $200k to Yearn.finance (YFI) founder Andre Cronje, In my time analyzing Ethereum addresses over the past few weeks, I’ve noticed an interesting trend: prominent funds such as Polychain Capital and prominent figures such as Andre Cronje, founder of Yearn.finance, regularly receive random coins from Uniswap. "
16,post-177362,2020-11-24 10:58:14.853607,1% of all ETH is now staked on Ethereum 2.0’s beacon chain,"Over 1% of Ethereum’s circulating supply is now locked up on the project’s new beacon chain, just one week after its launch. ",https://cryptoslate.com/1-of-all-eth-is-now-staked-on-ethereum-2-0s-beacon-chain/,,Shaurya Malwa,,"1% of all ETH is now staked on Ethereum 2.0’s beacon chain, Over 1% of Ethereum’s circulating supply is now locked up on the project’s new beacon chain, just one week after its launch. "
17,post-177271,2020-11-24 10:58:14.854608,CEO of $10 billion fund expects Ethereum to gain Wall Street traction this year,Crypto adoption on Wall Street is booming. ,https://cryptoslate.com/ceo-of-10b-fund-expects-ethereum-to-gain-wall-street-traction-this-year/,,Nick Chong,,"CEO of $10 billion fund expects Ethereum to gain Wall Street traction this year, Crypto adoption on Wall Street is booming. "
18,post-177163,2020-11-24 10:58:14.854608,Crypto hedge fund CEO testifies to Washington State Senate about the challenges of regulating digital assets,"Crypto regulations have proven to be a slippery slope so far, with governments around the world continuing to suppress the industry’s organic growth by instilling poor policies and a general disregard for cryptocurrencies. ",https://cryptoslate.com/crypto-hedge-fund-ceo-testifies-to-washington-state-senate-about-the-challenges-of-regulating-digital-assets/,,Shaurya Malwa,,"Crypto hedge fund CEO testifies to Washington State Senate about the challenges of regulating digital assets, Crypto regulations have proven to be a slippery slope so far, with governments around the world continuing to suppress the industry’s organic growth by instilling poor policies and a general disregard for cryptocurrencies. "
19,post-177085,2020-11-24 10:58:14.855639,"Bitcoin’s rally from $12,000 has been mostly driven by “institutional hunger”: data","Bitcoin has undergone a strong surge over the past two months that has brought it from the $11,000-12,000 range to new all-time highs just shy of $20,000. ",https://cryptoslate.com/bitcoins-rally-from-12000-has-been-mostly-driven-by-institutional-hunger-data/,,Nick Chong,,"Bitcoin’s rally from $12,000 has been mostly driven by “institutional hunger”: data, Bitcoin has undergone a strong surge over the past two months that has brought it from the $11,000-12,000 range to new all-time highs just shy of $20,000. "
20,post-176997,2020-11-24 10:58:14.856642,Why one analyst is concerned after Bitcoin tapped new all-time highs yesterday,"Bitcoin tapped new all-time highs on top exchanges yesterday, reaching $19,950 in some markets. ",https://cryptoslate.com/why-one-analyst-is-concerned-after-bitcoin-tapped-new-all-time-highs-yesterday/,,Nick Chong,,"Why one analyst is concerned after Bitcoin tapped new all-time highs yesterday, Bitcoin tapped new all-time highs on top exchanges yesterday, reaching $19,950 in some markets. "
21,post-176971,2020-11-24 10:58:14.856642,Are you really SAFU? The “coldest” crypto wallet wants to know,“Coldest” crypto wallet brand NGRAVE has launched a questionnaire campaign for crypto investors as the broader market picks up. ,https://cryptoslate.com/are-you-really-safu-the-coldest-crypto-wallet-wants-to-know/,,Shaurya Malwa,,"Are you really SAFU? The “coldest” crypto wallet wants to know, “Coldest” crypto wallet brand NGRAVE has launched a questionnaire campaign for crypto investors as the broader market picks up. "
22,post-176687,2020-11-24 10:58:15.691366,Wanna win a Bitcoin? Challenger bank Revolut is making that possible this Black Friday,"It’s the festive season and that time of the year where new deals, business offers, discounts, buy one get two free, and (err..and even scams?) offers light up internet buyers around the world. ",https://cryptoslate.com/wanna-win-a-bitcoin-challenger-bank-revoluts-making-that-possible-this-black-friday/,,Shaurya Malwa,,"Wanna win a Bitcoin? Challenger bank Revolut is making that possible this Black Friday, It’s the festive season and that time of the year where new deals, business offers, discounts, buy one get two free, and (err..and even scams?) offers light up internet buyers around the world. "
23,post-176681,2020-11-24 10:58:15.691366,BTC dumps as Coinbase CEO mentions potential US regulations for crypto wallets,Veterans will say it’s the same story in a different dress. ,https://cryptoslate.com/btc-dumps-as-coinbase-ceo-mentions-us-regulations-for-crypto-wallets/,,Shaurya Malwa,,"BTC dumps as Coinbase CEO mentions potential US regulations for crypto wallets, Veterans will say it’s the same story in a different dress. "
24,post-176648,2020-11-24 10:58:15.691366,Ethereum wicks under $500 on top futures exchange as market (finally) sags,"The crypto market has developed massively since 2017 and 2018, with the introduction of complex derivatives products, regulation, and liquidity through prominent market makers like Jump Trading and Alameda. ",https://cryptoslate.com/ethereum-wicks-under-500-on-top-futures-exchange-as-market-finally-sags/,,Nick Chong,,"Ethereum wicks under $500 on top futures exchange as market (finally) sags, The crypto market has developed massively since 2017 and 2018, with the introduction of complex derivatives products, regulation, and liquidity through prominent market makers like Jump Trading and Alameda. "
25,post-176442,2020-11-24 10:58:15.692364,“Bitcoin shortage”: PayPal bought 70% of all mined BTC last month,"Crypto hedge fund Pantera Capital revealed global payments processor PayPal purchased over 70% of all Bitcoin mined in the past month, as per an investor letter published last week. ",https://cryptoslate.com/bitcoin-shortage-paypal-bought-70-of-all-mined-btc-last-month/,,Shaurya Malwa,,"“Bitcoin shortage”: PayPal bought 70% of all mined BTC last month, Crypto hedge fund Pantera Capital revealed global payments processor PayPal purchased over 70% of all Bitcoin mined in the past month, as per an investor letter published last week. "
26,post-176007,2020-11-24 10:58:16.608950,Why a Citibank analyst is calling a $318k target for Bitcoin,"The banks are borderline following the playbook created by Bitcoin and cryptocurrency believers in the past few years: Deny all ties to the asset class at first, try to disallow clients from banking crypto profits to their accounts then, and wholeheartedly embracing the sector later. ",https://cryptoslate.com/why-a-citibank-analyst-is-calling-a-318k-target-for-bitcoin/,,Shaurya Malwa,,"Why a Citibank analyst is calling a $318k target for Bitcoin, The banks are borderline following the playbook created by Bitcoin and cryptocurrency believers in the past few years: Deny all ties to the asset class at first, try to disallow clients from banking crypto profits to their accounts then, and wholeheartedly embracing the sector later. "
